3Ba | 3Bb | 2Bb | 0Bb 4Ac 3Bc 0Ac | 2Bc 0Bc 2Ab 1Ba | 2Ba | 1Aa 0Aa 3Ab | 4Ab | 4Bc 2Aa 1Bc 4Aa | 1Bb | 1Ac 0Ba | 1Ab 4Bb | 2Ac Inp 3Ac | 4Ba | 0Ab 3Aa 
4Ab | 3Bc | 1Aa | 0Ab | 2Bc 0Bc 3Ab | 1Ab | 4Ac 1Ba 3Ac 4Bb 2Ba 0Ac 3Ba | 4Bc Inp | 1Ac 1Bb 2Ac | 4Aa | 2Bb 3Bb | 3Aa | 0Ba | 2Aa | 4Ba 2Ab 1Bc 0Aa 0Bb 
0Aa | 1Bb 2Ba | 1Bc | 0Bb | 3Ab | 1Ba 0Ab 4Bb | 2Ac Inp 3Bb 0Ba 1Aa | 1Ab | 3Ac 2Bb 2Aa 3Ba 0Ac 4Ac 1Ac | 4Aa | 2Bc | 3Aa | 3Bc 4Bc | 4Ba 2Ab | 4Ab 0Bc 
0Bb | 2Ac 4Bc 1Ac 0Bc 4Ab | 3Aa | 4Ac 3Ba 2Ba | Inp 1Bb 1Aa | 1Ba | 3Ab 0Ab | 0Ba | 4Ba 3Bc 0Aa | 4Bb | 1Ab | 1Bc 4Aa 0Ac 2Ab 3Ac | 2Bc | 2Aa 2Bb | 3Bb 
3Ab | 0Ac 2Bc 4Ac | 2Bb | 4Ab | 1Bb 2Ab | 2Ac | 3Bc 0Bb 1Ac 4Bb 0Ab 4Aa 2Aa | 1Bc 3Ba | 1Ba 4Ba 1Ab 0Aa | 0Bc 3Ac | 0Ba | 3Aa | 2Ba Inp 4Bc | 1Aa | 3Bb 
3Aa 0Ac 0Bc 4Ab | Inp 1Ba 4Ac 0Ba 2Ab | 3Bc 1Bc 4Ba 1Ac 3Ac | 1Aa | 2Bb | 2Ac 1Bb 3Ba 0Bb | 3Ab | 0Ab | 1Ab | 2Bc 4Bb | 4Bc | 2Ba | 2Aa | 0Aa | 4Aa 3Bb 
3Aa 4Ac | 1Ab | 0Aa | 2Ac 4Ab 0Bc 4Bc 3Ac 1Ac | 2Ba 1Bb | 1Ba 1Aa | 2Bb | 2Aa | 3Bb 4Aa | 4Bb | 0Bb | 0Ba Inp 2Ab 3Ba 0Ab | 1Bc 0Ac 4Ba | 3Bc | 2Bc 3Ab 
0Ba | 2Bc Inp 4Ab | 4Ac 2Bb 3Ac 1Ab | 1Ba 4Ba 1Aa 3Aa 0Bc | 3Ba | 3Bb | 4Aa | 2Ba 2Aa | 0Aa 3Ab | 2Ab | 4Bb | 1Ac 1Bc 0Ab 3Bc | 1Bb | 0Ac 0Bb | 4Bc 2Ac 
1Ab | 4Ac 1Aa 2Ba | 0Ba 4Ab | 3Bb | 2Aa | Inp 2Ab 4Ba 3Ac | 2Ac 2Bb 1Bb | 3Ba 3Aa | 0Aa | 4Bb | 2Bc 4Bc 3Bc 0Ab | 1Bc 1Ac 0Ac | 4Aa | 0Bb 1Ba | 3Ab 0Bc 
0Ab 2Aa | 3Bb 1Ba | 1Bb 1Ac | Inp 4Bc 0Aa | 0Bb | 4Ac 2Ba 3Bc 2Ab | 3Ba 1Ab 3Ac 0Ba 0Ac | 3Aa | 4Ba 2Bc 1Bc | 4Aa | 3Ab | 2Bb | 1Aa | 2Ac | 0Bc 4Bb 4Ab 
Inp 1Bc | 1Bb 3Ac 2Bb 1Aa | 4Ac | 0Ba 2Ab | 2Aa 3Ab 2Bc 0Bc 1Ba 3Bc 4Ba | 2Ba | 3Bb | 1Ac 0Ab | 3Aa 4Bc | 2Ac | 0Ac | 3Ba | 4Bb 0Bb 4Ab | 1Ab | 0Aa 4Aa 
4Bb | 2Aa 1Bb | 2Bc Inp 0Bb 0Aa 4Ba | 2Bb 1Aa 3Bb | 3Ac 4Ac | 3Bc | 2Ab | 2Ac 0Bc 4Ab | 0Ba | 1Ba 0Ac 3Aa | 0Ab | 3Ab | 4Bc 1Bc | 1Ac | 1Ab 3Ba 2Ba 4Aa 
2Bb | 0Bb 4Ba | 0Aa | 1Ba | 0Ab 1Bc 0Bc 2Bc 2Ac 4Ac | 4Bb 3Ab 3Bc | 4Ab 2Ba | 3Bb | 3Ba | 0Ac 2Ab 1Ab | 1Aa 2Aa | 1Ac 4Bc 3Aa Inp | 0Ba 3Ac | 4Aa | 1Bb 
